[epoch 11] train_loss: 0.899  train_acc: 0.664  val_accuracy: 0.712
[epoch 12] train_loss: 0.875  train_acc: 0.672  val_accuracy: 0.723
[epoch 13] train_loss: 0.837  train_acc: 0.686  val_accuracy: 0.758
[epoch 14] train_loss: 0.830  train_acc: 0.689  val_accuracy: 0.742
[epoch 15] train_loss: 0.825  train_acc: 0.689  val_accuracy: 0.745
[epoch 16] train_loss: 0.807  train_acc: 0.696  val_accuracy: 0.788
[epoch 17] train_loss: 0.771  train_acc: 0.705  val_accuracy: 0.777
[epoch 18] train_loss: 0.781  train_acc: 0.703  val_accuracy: 0.775
[epoch 19] train_loss: 0.744  train_acc: 0.716  val_accuracy: 0.772
[epoch 20] train_loss: 0.737  train_acc: 0.727  val_accuracy: 0.788
[epoch 21] train_loss: 0.709  train_acc: 0.739  val_accuracy: 0.810
[epoch 22] train_loss: 0.680  train_acc: 0.743  val_accuracy: 0.791
[epoch 23] train_loss: 0.681  train_acc: 0.744  val_accuracy: 0.821
[epoch 24] train_loss: 0.652  train_acc: 0.757  val_accuracy: 0.810
[epoch 25] train_loss: 0.638  train_acc: 0.760  val_accuracy: 0.830
[epoch 26] train_loss: 0.639  train_acc: 0.767  val_accuracy: 0.841
[epoch 27] train_loss: 0.607  train_acc: 0.770  val_accuracy: 0.769
[epoch 28] train_loss: 0.596  train_acc: 0.779  val_accuracy: 0.819
[epoch 29] train_loss: 0.580  train_acc: 0.784  val_accuracy: 0.843
[epoch 30] train_loss: 0.544  train_acc: 0.796  val_accuracy: 0.857
[epoch 31] train_loss: 0.569  train_acc: 0.785  val_accuracy: 0.816
[epoch 32] train_loss: 0.536  train_acc: 0.796  val_accuracy: 0.813
[epoch 33] train_loss: 0.508  train_acc: 0.810  val_accuracy: 0.876
[epoch 34] train_loss: 0.498  train_acc: 0.821  val_accuracy: 0.841
[epoch 35] train_loss: 0.482  train_acc: 0.828  val_accuracy: 0.843
[epoch 36] train_loss: 0.442  train_acc: 0.833  val_accuracy: 0.843
[epoch 37] train_loss: 0.443  train_acc: 0.831  val_accuracy: 0.857
[epoch 38] train_loss: 0.439  train_acc: 0.838  val_accuracy: 0.868
[epoch 39] train_loss: 0.437  train_acc: 0.838  val_accuracy: 0.882
[epoch 40] train_loss: 0.400  train_acc: 0.856  val_accuracy: 0.868
[epoch 41] train_loss: 0.396  train_acc: 0.858  val_accuracy: 0.865
[epoch 42] train_loss: 0.403  train_acc: 0.858  val_accuracy: 0.852
[epoch 43] train_loss: 0.375  train_acc: 0.864  val_accuracy: 0.865
[epoch 44] train_loss: 0.373  train_acc: 0.863  val_accuracy: 0.860
[epoch 45] train_loss: 0.362  train_acc: 0.868  val_accuracy: 0.865
[epoch 46] train_loss: 0.373  train_acc: 0.862  val_accuracy: 0.868
[epoch 47] train_loss: 0.354  train_acc: 0.873  val_accuracy: 0.868
[epoch 48] train_loss: 0.370  train_acc: 0.865  val_accuracy: 0.871
[epoch 49] train_loss: 0.358  train_acc: 0.865  val_accuracy: 0.865
[epoch 50] train_loss: 0.352  train_acc: 0.874  val_accuracy: 0.860
